#,title,artist,href,file,title (max32)
104,Fanny,YH,https://genius.com/Yh-fanny-lyrics,Yh-fanny,Yh-fanny
105,LIMB,Planet Giza,https://genius.com/Planet-giza-limb-lyrics,Planet-giza-limb,Planet-giza-limb
106,La Paix des Braves,Samian (Ft. Loco Locass ),https://genius.com/Samian-la-paix-des-braves-lyrics,Samian-la-paix-des-braves,Samian-la-paix-des-braves
107,Sirènes,Lost (Ft. Capitaine Gaza ),https://genius.com/Lost-sirenes-lyrics,Lost-sirenes,Lost-sirenes
108,Il était moins une,Loud,https://genius.com/Loud-il-etait-moins-une-lyrics,Loud-il-etait-moins-une,Loud-il-etait-moins-une
109,Bye bye,White-B,https://genius.com/White-b-bye-bye-lyrics,White-b-bye-bye,White-b-bye-bye
110,Éclipse,Enima,https://genius.com/Enima-eclipse-lyrics,Enima-eclipse,Enima-eclipse
111,Doo Wop,Dead Obies,https://genius.com/Dead-obies-doo-wop-lyrics,Dead-obies-doo-wop,Dead-obies-doo-wop
112,Valentina,Souldia,https://genius.com/Souldia-valentina-lyrics,Souldia-valentina,Souldia-valentina
113,Zombies,Koriass,https://genius.com/Koriass-zombies-lyrics,Koriass-zombies,Koriass-zombies
114,La Cause,VT,https://genius.com/Vt-la-cause-lyrics,Vt-la-cause,Vt-la-cause
115,Gris,Enima,https://genius.com/Enima-gris-lyrics,Enima-gris,Enima-gris
116,Aveux,Souldia (Ft. D4vid Lee ),https://genius.com/Souldia-aveux-lyrics,Souldia-aveux,Souldia-aveux
117,Ça Pue,Tizzo & Shreez,https://genius.com/Tizzo-and-shreez-ca-pue-lyrics,Tizzo-and-shreez-ca-pue,Tizzo-and-shreez-ca-pue
118,Métropole,MB,https://genius.com/Mb-metropole-lyrics,Mb-metropole,Mb-metropole
119,Cocaïno rap musique,Roi Heenok,https://genius.com/Roi-heenok-cocaino-rap-musique-lyrics,Roi-heenok-cocaino-rap-musique,Roi-heenok-cocaino-rap-musique
120,Rosa,VT,https://genius.com/Vt-rosa-lyrics,Vt-rosa,Vt-rosa
121,Réussir,Enima,https://genius.com/Enima-reussir-lyrics,Enima-reussir,Enima-reussir
122,Love suprême,Koriass (Ft. Sabrina Halde ),https://genius.com/Koriass-love-supreme-lyrics,Koriass-love-supreme,Koriass-love-supreme
123,Ondulation,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-ondulation-lyrics,Loud-lary-ajust-ondulation,Loud-lary-ajust-ondulation
124,Pour mon pays,Sir Pathétik,https://genius.com/Sir-pathetik-pour-mon-pays-lyrics,Sir-pathetik-pour-mon-pays,Sir-pathetik-pour-mon-pays
125,BP2 (Intro),Lost,https://genius.com/Lost-bp2-intro-lyrics,Lost-bp2-intro,Lost-bp2-intro
126,Détour,Enima,https://genius.com/Enima-detour-lyrics,Enima-detour,Enima-detour
127,Outro (Cerbère),"MB , Lost & White-B (Ft. Capitaine Gaza )",https://genius.com/Mb-lost-and-white-b-outro-cerbere-lyrics,Mb-lost-and-white-b-outro-cerbere,Mb-lost-and-white-b-outro-cerber
128,Runnin',Dead Obies,https://genius.com/Dead-obies-runnin-lyrics,Dead-obies-runnin,Dead-obies-runnin
129,Star,Enima,https://genius.com/Enima-star-lyrics,Enima-star,Enima-star
130,SWG,Loud (Ft. Lary Kidd ),https://genius.com/Loud-swg-lyrics,Loud-swg,Loud-swg
131,Mille Soleils,Rymz,https://genius.com/Rymz-mille-soleils-lyrics,Rymz-mille-soleils,Rymz-mille-soleils
132,Dz d’Amérique,Enima,https://genius.com/Enima-dz-damerique-lyrics,Enima-dz-damerique,Enima-dz-damerique
133,PLG,5sang14,https://genius.com/5sang14-plg-lyrics,5sang14-plg,5sang14-plg
134,Longue histoire courte,Loud,https://genius.com/Loud-longue-histoire-courte-lyrics,Loud-longue-histoire-courte,Loud-longue-histoire-courte
135,Elle sait pas,White-B,https://genius.com/White-b-elle-sait-pas-lyrics,White-b-elle-sait-pas,White-b-elle-sait-pas
136,Marée humaine,Manu Militari,https://genius.com/Manu-militari-maree-humaine-lyrics,Manu-militari-maree-humaine,Manu-militari-maree-humaine
137,HYBRIDE EXO,Roi Heenok (Ft. Alkpote ),https://genius.com/Roi-heenok-hybride-exo-lyrics,Roi-heenok-hybride-exo,Roi-heenok-hybride-exo
138,Alaclair High,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-alaclair-high-lyrics,Alaclair-ensemble-alaclair-high,Alaclair-ensemble-alaclair-high
139,Une année record,Loud,https://genius.com/Loud-une-annee-record-lyrics,Loud-une-annee-record,Loud-une-annee-record
140,Best Friend,Enima,https://genius.com/Enima-best-friend-lyrics,Enima-best-friend,Enima-best-friend
141,Mona Lisa,White-B (Ft. MB ),https://genius.com/White-b-mona-lisa-lyrics,White-b-mona-lisa,White-b-mona-lisa
142,Hooked,Zeina,https://genius.com/Zeina-hooked-lyrics,Zeina-hooked,Zeina-hooked
143,Nouvelle drogue,Rymz (Ft. William Hennessey ),https://genius.com/Rymz-nouvelle-drogue-lyrics,Rymz-nouvelle-drogue,Rymz-nouvelle-drogue
144,Indélébile,Rymz,https://genius.com/Rymz-indelebile-lyrics,Rymz-indelebile,Rymz-indelebile
145,Gaïden vs Freddy Gruesum,WordUP! Battles (Ft. Freddy Gruesum & Gaïden ),https://genius.com/Wordup-battles-gaiden-vs-freddy-gruesum-lyrics,Wordup-battles-gaiden-vs-freddy-gruesum,Wordup-battles-gaiden-vs-freddy-
146,ONO,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-ono-lyrics,Loud-lary-ajust-ono,Loud-lary-ajust-ono
