#,title,artist,URL,file,video
389,Je fais mes affaires,Izzy-S (Ft. Lost ),https://genius.com/Izzy-s-je-fais-mes-affaires-lyrics,389-Izzy-s-je-fais-mes-affaires,
390,Mi Amor,Karmen (FRA) (Ft. Enima ),https://genius.com/Karmen-fra-mi-amor-lyrics,390-Karmen-fra-mi-amor,
391,Grignotines,FouKi,https://genius.com/Fouki-grignotines-lyrics,391-Fouki-grignotines,
392,Tiens mon drink,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-tiens-mon-drink-lyrics,392-Loud-lary-ajust-tiens-mon-drink,
393,Sapoud 2020,Les Anticipateurs,https://genius.com/Les-anticipateurs-sapoud-2020-lyrics,393-Les-anticipateurs-sapoud-2020,
394,Van Gogh,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-van-gogh-lyrics,394-Loud-lary-ajust-van-gogh,
395,Loin,5sang14,https://genius.com/5sang14-loin-lyrics,395-5sang14-loin,
396,Spleen et Montréal,Loco Locass,https://genius.com/Loco-locass-spleen-et-montreal-lyrics,396-Loco-locass-spleen-et-montreal,
397,Fuckboy,Lost (Ft. White-B ),https://genius.com/Lost-fuckboy-lyrics,397-Lost-fuckboy,
398,Money Everyday,Kay Bandz & Enima,https://genius.com/Kay-bandz-and-enima-money-everyday-lyrics,398-Kay-bandz-and-enima-money-everyday,
399,Toxique,White-B,https://genius.com/White-b-toxique-lyrics,399-White-b-toxique,
400,Vraiment légendaire,Les Anticipateurs,https://genius.com/Les-anticipateurs-vraiment-legendaire-lyrics,400-Les-anticipateurs-vraiment-legendaire,
402,Aujourd'hui,Gros Big,https://genius.com/Gros-big-aujourdhui-lyrics,402-Gros-big-aujourdhui,
403,Les infameux,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-les-infameux-lyrics,403-Alaclair-ensemble-les-infameux,
404,Génies en Herbe,Koriass & FouKi,https://genius.com/Koriass-and-fouki-genies-en-herbe-lyrics,404-Koriass-and-fouki-genies-en-herbe,
405,Fuck Eux,Enima,https://genius.com/Enima-fuck-eux-lyrics,405-Enima-fuck-eux,
406,Ferrari,Enima (Ft. Pirate (QBC) ),https://genius.com/Enima-ferrari-lyrics,406-Enima-ferrari,
407,L'empreinte,Manu Militari,https://genius.com/Manu-militari-lempreinte-lyrics,407-Manu-militari-lempreinte,
408,Paw Paw,Gutta (Ft. VT ),https://genius.com/Gutta-paw-paw-lyrics,408-Gutta-paw-paw,
409,La rue m’appelle encore,Connaisseur Ticaso,https://genius.com/Connaisseur-ticaso-la-rue-mappelle-encore-lyrics,409-Connaisseur-ticaso-la-rue-mappelle-encore,
410,Zayzay,FouKi,https://genius.com/Fouki-zayzay-lyrics,410-Fouki-zayzay,
411,La Coka Coka,Roi Heenok,https://genius.com/Roi-heenok-la-coka-coka-lyrics,411-Roi-heenok-la-coka-coka,
412,FÜHRER HEENOKO,Roi Heenok,https://genius.com/Roi-heenok-fuhrer-heenoko-lyrics,412-Roi-heenok-fuhrer-heenoko,
413,Around Us,Joe Rocca,https://genius.com/Joe-rocca-around-us-lyrics,413-Joe-rocca-around-us,
414,À zéro,MB,https://genius.com/Mb-a-zero-lyrics,414-Mb-a-zero,
415,Dégâts,Trappo,https://genius.com/Trappo-degats-lyrics,415-Trappo-degats,
416,Rap Queb,Loud Lary Ajust (Ft. Koriass ),https://genius.com/Loud-lary-ajust-rap-queb-lyrics,416-Loud-lary-ajust-rap-queb,
417,NoRapCap,Jeune Loup,https://genius.com/Jeune-loup-norapcap-lyrics,417-Jeune-loup-norapcap,
418,Demain ne suffit pas,Rymz (Ft. D4vid Lee ),https://genius.com/Rymz-demain-ne-suffit-pas-lyrics,418-Rymz-demain-ne-suffit-pas,
419,I Said What I Said,Loud,https://genius.com/Loud-i-said-what-i-said-lyrics,419-Loud-i-said-what-i-said,
420,Devilish,Enima,https://genius.com/Enima-devilish-lyrics,420-Enima-devilish,
421,Vilain,Souldia,https://genius.com/Souldia-vilain-lyrics,421-Souldia-vilain,
422,Astral Drill,Rowjay,https://genius.com/Rowjay-astral-drill-lyrics,422-Rowjay-astral-drill,
423,1942,Enima,https://genius.com/Enima-1942-lyrics,423-Enima-1942,
424,Révélation,Manu Militari,https://genius.com/Manu-militari-revelation-lyrics,424-Manu-militari-revelation,
425,Wono,FouKi,https://genius.com/Fouki-wono-lyrics,425-Fouki-wono,
426,No Time,Kevin Na$h,https://genius.com/Kevin-na-h-no-time-lyrics,426-Kevin-na-h-no-time,
427,Hold Up,Loud,https://genius.com/Loud-hold-up-lyrics,427-Loud-hold-up,
428,Hier encore,Souldia & Lost,https://genius.com/Souldia-and-lost-hier-encore-lyrics,428-Souldia-and-lost-hier-encore,
429,RSVP,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-rsvp-lyrics,429-Loud-lary-ajust-rsvp,
430,PCU,FouKi,https://genius.com/Fouki-pcu-lyrics,430-Fouki-pcu,
431,Le Rap-à-Billy,Lucien Francoeur,https://genius.com/Lucien-francoeur-le-rap-a-billy-lyrics,431-Lucien-francoeur-le-rap-a-billy,
432,3-0 (Passe la mallette),Lost,https://genius.com/Lost-3-0-passe-la-mallette-lyrics,432-Lost-3-0-passe-la-mallette,
433,J-3000,Koriass,https://genius.com/Koriass-j-3000-lyrics,433-Koriass-j-3000,
434,Audigier (SkulaBanks),Lord Esperanza (Ft. FouKi ),https://genius.com/Lord-esperanza-audigier-skulabanks-lyrics,434-Lord-esperanza-audigier-skulabanks,
436,Le premier,Manu Militari,https://genius.com/Manu-militari-le-premier-lyrics,436-Manu-militari-le-premier,
437,King Kong,LV Cupidon (Ft. Boutot ),https://genius.com/Lv-cupidon-king-kong-lyrics,437-Lv-cupidon-king-kong,
438,Psychotrope,Lost,https://genius.com/Lost-psychotrope-lyrics,438-Lost-psychotrope,
439,Peuple invincible,Samian,https://genius.com/Samian-peuple-invincible-lyrics,439-Samian-peuple-invincible,
440,Blanchissage (Pour Richard),Les Anticipateurs,https://genius.com/Les-anticipateurs-blanchissage-pour-richard-lyrics,440-Les-anticipateurs-blanchissage-pour-richard,
441,Euros,Enima,https://genius.com/Enima-euros-lyrics,441-Enima-euros,
442,Ennemis,Koriass,https://genius.com/Koriass-ennemis-lyrics,442-Koriass-ennemis,
443,Génération Muzion,Enima,https://genius.com/Enima-generation-muzion-lyrics,443-Enima-generation-muzion,
445,Ayè mama,Lost,https://genius.com/Lost-aye-mama-lyrics,445-Lost-aye-mama,
446,Fuego,Sarahmée (Ft. Souldia ),https://genius.com/Sarahmee-fuego-lyrics,446-Sarahmee-fuego,
447,Minuit trop tard,Zagata & Souldia,https://genius.com/Zagata-and-souldia-minuit-trop-tard-lyrics,447-Zagata-and-souldia-minuit-trop-tard,
448,Leçons,Enima,https://genius.com/Enima-lecons-lyrics,448-Enima-lecons,
449,Envoie la fumée,Souldia & Rymz,https://genius.com/Souldia-and-rymz-envoie-la-fumee-lyrics,449-Souldia-and-rymz-envoie-la-fumee,
450,Quand même clean,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-quand-meme-clean-lyrics,450-Alaclair-ensemble-quand-meme-clean,
451,Feelings,Enima,https://genius.com/Enima-feelings-lyrics,451-Enima-feelings,
452,Mabad,FouKi,https://genius.com/Fouki-mabad-lyrics,452-Fouki-mabad,
453,Mr. Smith,Enima,https://genius.com/Enima-mr-smith-lyrics,453-Enima-mr-smith,
455,Carpe Diem,Rymz,https://genius.com/Rymz-carpe-diem-lyrics,455-Rymz-carpe-diem,
456,Nulle part,Koriass,https://genius.com/Koriass-nulle-part-lyrics,456-Koriass-nulle-part,
457,Contrôle,Lary Kidd,https://genius.com/Lary-kidd-controle-lyrics,457-Lary-kidd-controle,
458,J'en appelle à la poésie,David Goudreault,https://genius.com/David-goudreault-jen-appelle-a-la-poesie-lyrics,458-David-goudreault-jen-appelle-a-la-poesie,
459,Gunner,Enima,https://genius.com/Enima-gunner-lyrics,459-Enima-gunner,
460,Million,White-B,https://genius.com/White-b-million-lyrics,460-White-b-million,
462,Plankton,Shreez,https://genius.com/Shreez-plankton-lyrics,462-Shreez-plankton,
463,Parapluie,Brown Family,https://genius.com/Brown-family-parapluie-lyrics,463-Brown-family-parapluie,
464,Cruel Summer,Dead Obies,https://genius.com/Dead-obies-cruel-summer-lyrics,464-Dead-obies-cruel-summer,
465,GENTIL GANG,FouKi (Ft. Vendou ),https://genius.com/Fouki-gentil-gang-lyrics,465-Fouki-gentil-gang,
466,0 à 120,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-0-a-120-lyrics,466-Alaclair-ensemble-0-a-120,
467,Didier Drogba,Capitaine Gaza (Ft. MB & White-B ),https://genius.com/Capitaine-gaza-didier-drogba-lyrics,467-Capitaine-gaza-didier-drogba,
468,IPhone,FouKi,https://genius.com/Fouki-iphone-lyrics,468-Fouki-iphone,
469,#22,Souldia,https://genius.com/Souldia-22-lyrics,469-Souldia-22,
470,Hôtel Hell,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-hotel-hell-lyrics,470-Loud-lary-ajust-hotel-hell,
471,Sacrifice,Souldia,https://genius.com/Souldia-sacrifice-lyrics,471-Souldia-sacrifice,
472,Oh oui,Enima,https://genius.com/Enima-oh-oui-lyrics,472-Enima-oh-oui,
473,GONE,"LV Cupidon , Lebza Khey & Nikki B (Ft. Boutot )",https://genius.com/Lv-cupidon-lebza-khey-and-nikki-b-gone-lyrics,473-Lv-cupidon-lebza-khey-and-nikki-b-gone,
474,La Bataille des murailles,Loco Locass (Ft. Les Charbonniers de l'Enfer ),https://genius.com/Loco-locass-la-bataille-des-murailles-lyrics,474-Loco-locass-la-bataille-des-murailles,
475,Brk Frm Nrml,Planet Giza (Ft. Mick Jenkins ),https://genius.com/Planet-giza-brk-frm-nrml-lyrics,475-Planet-giza-brk-frm-nrml,
476,PÈRE NOËL,FREAKEY! (Ft. Shreez ),https://genius.com/Freakey-pere-noel-lyrics,476-Freakey-pere-noel,
477,Vivre ou périr,White-B (Ft. Lost ),https://genius.com/White-b-vivre-ou-perir-lyrics,477-White-b-vivre-ou-perir,
478,Si je perdais,Enima,https://genius.com/Enima-si-je-perdais-lyrics,478-Enima-si-je-perdais,
479,Ouvre ta fenêtre,Koriass,https://genius.com/Koriass-ouvre-ta-fenetre-lyrics,479-Koriass-ouvre-ta-fenetre,
480,Labyrinthe,Souldia,https://genius.com/Souldia-labyrinthe-lyrics,480-Souldia-labyrinthe,
481,La censure pour l'échafaud,Loco Locass,https://genius.com/Loco-locass-la-censure-pour-lechafaud-lyrics,481-Loco-locass-la-censure-pour-lechafaud,
482,Aucune promesse,Loud,https://genius.com/Loud-aucune-promesse-lyrics,482-Loud-aucune-promesse,
483,Nothing,Enima,https://genius.com/Enima-nothing-lyrics,483-Enima-nothing,
484,Tactique palestinienne,Roi Heenok,https://genius.com/Roi-heenok-tactique-palestinienne-lyrics,484-Roi-heenok-tactique-palestinienne,
485,Le Quart du Crisss,Les Anticipateurs,https://genius.com/Les-anticipateurs-le-quart-du-crisss-lyrics,485-Les-anticipateurs-le-quart-du-crisss,
486,Oui toi,FouKi,https://genius.com/Fouki-oui-toi-lyrics,486-Fouki-oui-toi,
487,Double Cup,2V,https://genius.com/2v-double-cup-lyrics,487-2v-double-cup,
490,P6,Lost,https://genius.com/Lost-p6-lyrics,490-Lost-p6,
491,Onlyfans,Rowjay,https://genius.com/Rowjay-onlyfans-lyrics,491-Rowjay-onlyfans,
492,Super héros,Farfadet (Ft. Rymz & Souldia ),https://genius.com/Farfadet-super-heros-lyrics,492-Farfadet-super-heros,
493,Vols d'énergies,Roi Heenok (Ft. atlas ),https://genius.com/Roi-heenok-vols-denergies-lyrics,493-Roi-heenok-vols-denergies,
494,Mode Sport,5sang14,https://genius.com/5sang14-mode-sport-lyrics,494-5sang14-mode-sport,
495,Avant de disparaître,Claude Bégin,https://genius.com/Claude-begin-avant-de-disparaitre-lyrics,495-Claude-begin-avant-de-disparaitre,
496,Vivre et laisser vivre,Manu Militari,https://genius.com/Manu-militari-vivre-et-laisser-vivre-lyrics,496-Manu-militari-vivre-et-laisser-vivre,
497,Sultan Hotel,Manu Militari,https://genius.com/Manu-militari-sultan-hotel-lyrics,497-Manu-militari-sultan-hotel,
498,Run Away,Dead Obies,https://genius.com/Dead-obies-run-away-lyrics,498-Dead-obies-run-away,
499,Alerte Amber,Koriass,https://genius.com/Koriass-alerte-amber-lyrics,499-Koriass-alerte-amber,
500,La Cavale,VT,https://genius.com/Vt-la-cavale-lyrics,500-Vt-la-cavale,
501,Geeked Up,Rowjay (Ft. 8ruki & Jeune Loup ),https://genius.com/Rowjay-geeked-up-lyrics,501-Rowjay-geeked-up,
502,Allan Théo,Yes Mccan,https://genius.com/Yes-mccan-allan-theo-lyrics,502-Yes-mccan-allan-theo,
503,Petites Défaites (Intro),Koriass,https://genius.com/Koriass-petites-defaites-intro-lyrics,503-Koriass-petites-defaites-intro,
504,El Chapo,Enima,https://genius.com/Enima-el-chapo-lyrics,504-Enima-el-chapo,
505,CREED,Enima,https://genius.com/Enima-creed-lyrics,505-Enima-creed,
506,DEEP DAYS,Enima,https://genius.com/Enima-deep-days-lyrics,506-Enima-deep-days,
507,NONON,FouKi,https://genius.com/Fouki-nonon-lyrics,507-Fouki-nonon,
508,GRANDI DANS LA RUE,Izzy-S,https://genius.com/Izzy-s-grandi-dans-la-rue-lyrics,508-Izzy-s-grandi-dans-la-rue,
509,M.AN.U,Manu Militari,https://genius.com/Manu-militari-manu-lyrics,509-Manu-militari-manu,
510,SVR,Enima,https://genius.com/Enima-svr-lyrics,510-Enima-svr,
511,Rêve de jeunesse,Souldia (Ft. Loud ),https://genius.com/Souldia-reve-de-jeunesse-lyrics,511-Souldia-reve-de-jeunesse,
512,Apprendre à vivre,Sir Pathétik (Ft. Billy Nova ),https://genius.com/Sir-pathetik-apprendre-a-vivre-lyrics,512-Sir-pathetik-apprendre-a-vivre,
513,Money Convos,Yes Mccan,https://genius.com/Yes-mccan-money-convos-lyrics,513-Yes-mccan-money-convos,
514,La grande beauté,Lary Kidd,https://genius.com/Lary-kidd-la-grande-beaute-lyrics,514-Lary-kidd-la-grande-beaute,
515,Double Cup,Yes Mccan,https://genius.com/Yes-mccan-double-cup-lyrics,515-Yes-mccan-double-cup,
516,Cardi B,Enima,https://genius.com/Enima-cardi-b-lyrics,516-Enima-cardi-b,
517,Chicotter,Lost,https://genius.com/Lost-chicotter-lyrics,517-Lost-chicotter,
518,Arab,Enima,https://genius.com/Enima-arab-lyrics,518-Enima-arab,
519,Néfertiti,FouKi,https://genius.com/Fouki-nefertiti-lyrics,519-Fouki-nefertiti,
520,Keys On The Table,Lary Kidd,https://genius.com/Lary-kidd-keys-on-the-table-lyrics,520-Lary-kidd-keys-on-the-table,
521,Le fantôme de l'opéra,Souldia,https://genius.com/Souldia-le-fantome-de-lopera-lyrics,521-Souldia-le-fantome-de-lopera,
522,Rime Organisé,Manu Militari,https://genius.com/Manu-militari-rime-organise-lyrics,522-Manu-militari-rime-organise,
523,Club,VT (Ft. Lil Berete ),https://genius.com/Vt-club-lyrics,523-Vt-club,
524,Groove Grave,Loco Locass,https://genius.com/Loco-locass-groove-grave-lyrics,524-Loco-locass-groove-grave,
525,Ma Vie,VT,https://genius.com/Vt-ma-vie-lyrics,525-Vt-ma-vie,
526,Le game c'est pas un jeu,Lost (Ft. Bagfull TNF ),https://genius.com/Lost-le-game-cest-pas-un-jeu-lyrics,526-Lost-le-game-cest-pas-un-jeu,
527,La noche,Lost,https://genius.com/Lost-la-noche-lyrics,527-Lost-la-noche,
528,Papillon,FouKi,https://genius.com/Fouki-papillon-lyrics,528-Fouki-papillon,
529,GTA,Rymz,https://genius.com/Rymz-gta-lyrics,529-Rymz-gta,
530,Love,Enima,https://genius.com/Enima-love-lyrics,530-Enima-love,
531,D-Natural is Back,D-Natural,https://genius.com/D-natural-d-natural-is-back-lyrics,531-D-natural-d-natural-is-back,
532,Intro,Jeune Loup,https://genius.com/Jeune-loup-intro-lyrics,532-Jeune-loup-intro,
533,OT,Lost (Ft. Trappo ),https://genius.com/Lost-ot-lyrics,533-Lost-ot,
534,Dwayne Carter Flow,Nate Husser,https://genius.com/Nate-husser-dwayne-carter-flow-lyrics,534-Nate-husser-dwayne-carter-flow,
535,Lendemain,Koriass,https://genius.com/Koriass-lendemain-lyrics,535-Koriass-lendemain,
536,BMF,Enima,https://genius.com/Enima-bmf-lyrics,536-Enima-bmf,
537,Prêt ou pas,Random (QC) (Ft. Capitaine Gaza ),https://genius.com/Random-qc-pret-ou-pas-lyrics,537-Random-qc-pret-ou-pas,
538,Céline,Jeune Loup,https://genius.com/Jeune-loup-celine-lyrics,538-Jeune-loup-celine,
539,Décennie,Lost (Ft. White-B ),https://genius.com/Lost-decennie-lyrics,539-Lost-decennie,
540,Outro (BP2),Lost,https://genius.com/Lost-outro-bp2-lyrics,540-Lost-outro-bp2,
541,FOCUS,Enima,https://genius.com/Enima-focus-lyrics,541-Enima-focus,
542,Viens célébrer,Roi Heenok,https://genius.com/Roi-heenok-viens-celebrer-lyrics,542-Roi-heenok-viens-celebrer,
544,Océan,Manu Militari,https://genius.com/Manu-militari-ocean-lyrics,544-Manu-militari-ocean,
545,Lil’ $,Dead Obies,https://genius.com/Dead-obies-lil-lyrics,545-Dead-obies-lil,
546,Rowzin,Rowjay (Ft. Jwles ),https://genius.com/Rowjay-rowzin-lyrics,546-Rowjay-rowzin,
547,Komankasapel,Les Anticipateurs (Ft. D4vid Lee & DJ Riz-Boulet ),https://genius.com/Les-anticipateurs-komankasapel-lyrics,547-Les-anticipateurs-komankasapel,
548,Win Win,"Loud , Imposs & Raccoon",https://genius.com/Loud-imposs-and-raccoon-win-win-lyrics,548-Loud-imposs-and-raccoon-win-win,
549,Pour vrai,Dead Obies,https://genius.com/Dead-obies-pour-vrai-lyrics,549-Dead-obies-pour-vrai,
550,EN AMOUR,"Charlie Shulz (Ft. Le Ice , Ray Ray , Shreez & Tizzo )",https://genius.com/Charlie-shulz-en-amour-lyrics,550-Charlie-shulz-en-amour,
551,Fugueuse,DawaMafia,https://genius.com/Dawamafia-fugueuse-lyrics,551-Dawamafia-fugueuse,
552,Oh ma Loca,"Capitaine Gaza (Ft. Lost , MB & White-B )",https://genius.com/Capitaine-gaza-oh-ma-loca-lyrics,552-Capitaine-gaza-oh-ma-loca,
553,Rouge neige,"Souldia (Ft. Rick Pagano , Seth Gueko & Sinik )",https://genius.com/Souldia-rouge-neige-lyrics,553-Souldia-rouge-neige,
554,Crime d'honneur,Manu Militari,https://genius.com/Manu-militari-crime-dhonneur-lyrics,554-Manu-militari-crime-dhonneur,
555,Coupe-vent Columbia,Lary Kidd (Ft. 20Some ),https://genius.com/Lary-kidd-coupe-vent-columbia-lyrics,555-Lary-kidd-coupe-vent-columbia,
556,Back,Kirouac & Kodakludo,https://genius.com/Kirouac-and-kodakludo-back-lyrics,556-Kirouac-and-kodakludo-back,
557,Outremont,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-outremont-lyrics,557-Loud-lary-ajust-outremont,
