149	J'comprends pas	PNL	https://genius.com/Pnl-jcomprends-pas-lyrics	149-Pnl-jcomprends-pas
150	Génération Assassin	Booba	https://genius.com/Booba-generation-assassin-lyrics	150-Booba-generation-assassin
151	Anarchie	SCH	https://genius.com/Sch-anarchie-lyrics	151-Sch-anarchie
152	Meurtre Par Strangulation	GIMS	https://genius.com/Gims-meurtre-par-strangulation-lyrics	152-Gims-meurtre-par-strangulation
153	Salé	Niska	https://genius.com/Niska-sale-lyrics	153-Niska-sale
154	Julien	Damso	https://genius.com/Damso-julien-lyrics	154-Damso-julien
155	J'suis PNL	PNL	https://genius.com/Pnl-jsuis-pnl-lyrics	155-Pnl-jsuis-pnl
156	Kuta Ubud	PNL	https://genius.com/Pnl-kuta-ubud-lyrics	156-Pnl-kuta-ubud
157	Dreamin'	Youssoupha (Ft. Indila)	https://genius.com/Youssoupha-dreamin-lyrics	157-Youssoupha-dreamin
158	MOWGLI II	PNL	https://genius.com/Pnl-mowgli-ii-lyrics	158-Pnl-mowgli-ii
159	A.W.A	Lacrim (Ft. French Montana)	https://genius.com/Lacrim-awa-lyrics	159-Lacrim-awa
160	On se connaît	Youssoupha (Ft. Noémie)	https://genius.com/Youssoupha-on-se-connait-lyrics	160-Youssoupha-on-se-connait
161	Les étoiles vagabondes	Nekfeu	https://genius.com/Nekfeu-les-etoiles-vagabondes-lyrics	161-Nekfeu-les-etoiles-vagabondes
162	Trône	Booba	https://genius.com/Booba-trone-lyrics	162-Booba-trone
163	Smog	Damso	https://genius.com/Damso-smog-lyrics	163-Damso-smog
164	Nous aussi	Bigflo & Oli	https://genius.com/Bigflo-and-oli-nous-aussi-lyrics	164-Bigflo-and-oli-nous-aussi
165	Infréquentables	Dosseh (Ft. Booba)	https://genius.com/Dosseh-infrequentables-lyrics	165-Dosseh-infrequentables
166	Rêves bizarres	OrelSan (Ft. Damso)	https://genius.com/Orelsan-reves-bizarres-lyrics	166-Orelsan-reves-bizarres
167	Porte de Mesrine	PNL	https://genius.com/Pnl-porte-de-mesrine-lyrics	167-Pnl-porte-de-mesrine
168	Lion	PNL	https://genius.com/Pnl-lion-lyrics	168-Pnl-lion
169	Vitrine	Vald (Ft. Damso)	https://genius.com/Vald-vitrine-lyrics	169-Vald-vitrine
170	Chocolat	Lartiste (Ft. Awa Imani)	https://genius.com/Lartiste-chocolat-lyrics	170-Lartiste-chocolat
171	Demain, c’est loin	IAM	https://genius.com/Iam-demain-cest-loin-lyrics	171-Iam-demain-cest-loin
172	Menace	PNL	https://genius.com/Pnl-menace-lyrics	172-Pnl-menace
173	Plume	Nekfeu	https://genius.com/Nekfeu-plume-lyrics	173-Nekfeu-plume
174	Sommeil	Stromae	https://genius.com/Stromae-sommeil-lyrics	174-Stromae-sommeil
175	3G	Booba	https://genius.com/Booba-3g-lyrics	175-Booba-3g
176	Carjack Chiraq	Niska (Ft. Brigistone, Madrane & XVBARBAR)	https://genius.com/Niska-carjack-chiraq-lyrics	176-Niska-carjack-chiraq
177	Sort le cross volé	JuL	https://genius.com/Jul-sort-le-cross-vole-lyrics	177-Jul-sort-le-cross-vole
178	Simba	PNL	https://genius.com/Pnl-simba-lyrics	178-Pnl-simba
179	Reuf	Nekfeu (Ft. Ed Sheeran)	https://genius.com/Nekfeu-reuf-lyrics	179-Nekfeu-reuf
180	Rouge et bleu	Kalash (Ft. Booba)	https://genius.com/Kalash-rouge-et-bleu-lyrics	180-Kalash-rouge-et-bleu
181	Wesh Zoulette	Rohff	https://genius.com/Rohff-wesh-zoulette-lyrics	181-Rohff-wesh-zoulette
182	Corleone	Lacrim	https://genius.com/Lacrim-corleone-lyrics	182-Lacrim-corleone
183	RTC	Booba	https://genius.com/Booba-rtc-lyrics	183-Booba-rtc
184	Ξ. Une âme pour deux	Damso	https://genius.com/Damso-une-ame-pour-deux-lyrics	184-Damso-une-ame-pour-deux
185	Sacrifice de Masse	Freeze Corleone (Ft. Osirus Jack)	https://genius.com/Freeze-corleone-sacrifice-de-masse-lyrics	185-Freeze-corleone-sacrifice-de-masse
186	Mobali	Siboy (Ft. Benash & Damso)	https://genius.com/Siboy-mobali-lyrics	186-Siboy-mobali
187	Gomorra	SCH	https://genius.com/Sch-gomorra-lyrics	187-Sch-gomorra
188	Hasta la vista	PNL	https://genius.com/Pnl-hasta-la-vista-lyrics	188-Pnl-hasta-la-vista
189	Baltringue	Damso	https://genius.com/Damso-baltringue-lyrics	189-Damso-baltringue
190	Nekketsu	Nekfeu (Ft. Crystal Kay)	https://genius.com/Nekfeu-nekketsu-lyrics	190-Nekfeu-nekketsu
191	Desiigner	Freeze Corleone	https://genius.com/Freeze-corleone-desiigner-lyrics	191-Freeze-corleone-desiigner
192	Baton Rouge	Freeze Corleone	https://genius.com/Freeze-corleone-baton-rouge-lyrics	192-Freeze-corleone-baton-rouge
193	É.L.É.P.H.A.N.T.	Booba	https://genius.com/Booba-elephant-lyrics	193-Booba-elephant
194	Kratos	PNL	https://genius.com/Pnl-kratos-lyrics	194-Pnl-kratos
195	RR 9.1	Koba LaD (Ft. Niska)	https://genius.com/Koba-lad-rr-91-lyrics	195-Koba-lad-rr-91
196	Que la mif	PNL (Ft. F430, Ilinas, Moha MMZ & S-Pion)	https://genius.com/Pnl-que-la-mif-lyrics	196-Pnl-que-la-mif
197	LVMH	Booba	https://genius.com/Booba-lvmh-lyrics	197-Booba-lvmh
198	Tony Sosa	Booba	https://genius.com/Booba-tony-sosa-lyrics	198-Booba-tony-sosa
199	Lova	JuL	https://genius.com/Jul-lova-lyrics	199-Jul-lova
200	Ça va trop vite	Bigflo & Oli (Ft. Busta Rhymes)	https://genius.com/Bigflo-and-oli-ca-va-trop-vite-lyrics	200-Bigflo-and-oli-ca-va-trop-vite
201	Attila	Booba	https://genius.com/Booba-attila-lyrics	201-Booba-attila
202	Σ. MOROSE	Damso	https://genius.com/Damso-morose-lyrics	202-Damso-morose
203	Débrouillard	Damso	https://genius.com/Damso-debrouillard-lyrics	203-Damso-debrouillard
204	Grand Paris	Médine (Ft. Alivor, Lartiste, Lino, Ninho, Seth Gueko, Sofiane & Youssoupha)	https://genius.com/Medine-grand-paris-lyrics	204-Medine-grand-paris
205	Motel	Ashh	https://genius.com/Ashh-motel-lyrics	205-Ashh-motel
206	Longue vie	Sofiane (Ft. Hornet La Frappe & Ninho)	https://genius.com/Sofiane-longue-vie-lyrics	206-Sofiane-longue-vie
207	Oh bah oui	Lacrim (Ft. Booba)	https://genius.com/Lacrim-oh-bah-oui-lyrics	207-Lacrim-oh-bah-oui
208	Comme d'hab	JuL (Ft. Alonzo)	https://genius.com/Jul-comme-dhab-lyrics	208-Jul-comme-dhab
209	PMW	Shay	https://genius.com/Shay-pmw-lyrics	209-Shay-pmw
210	Life	Hamza	https://genius.com/Hamza-life-lyrics	210-Hamza-life
211	Humains	Damso	https://genius.com/Damso-humains-lyrics	211-Damso-humains
212	Sur Paname	PNL	https://genius.com/Pnl-sur-paname-lyrics	212-Pnl-sur-paname
213	DEUX TOILES DE MER	Damso	https://genius.com/Damso-deux-toiles-de-mer-lyrics	213-Damso-deux-toiles-de-mer
214	Déconnecté	PNL	https://genius.com/Pnl-deconnecte-lyrics	214-Pnl-deconnecte
215	Cœurs	PNL	https://genius.com/Pnl-curs-lyrics	215-Pnl-curs
216	Origine des rappeurs français	Genius France	https://genius.com/Genius-france-origine-des-rappeurs-francais-lyrics	216-Genius-france-origine-des-rappeurs-francais
217	Tout l'monde s'en fout	Sofiane	https://genius.com/Sofiane-tout-lmonde-sen-fout-lyrics	217-Sofiane-tout-lmonde-sen-fout
218	Cheum	Nekfeu	https://genius.com/Nekfeu-cheum-lyrics	218-Nekfeu-cheum
219	Όλα Καλά (Ola Kala)	Nekfeu	https://genius.com/Nekfeu-ola-kala-lyrics	219-Nekfeu-ola-kala
220	Lettre à une femme	Ninho	https://genius.com/Ninho-lettre-a-une-femme-lyrics	220-Ninho-lettre-a-une-femme
221	Dans mon dél	JuL	https://genius.com/Jul-dans-mon-del-lyrics	221-Jul-dans-mon-del
222	Graine de sablier	Damso	https://genius.com/Damso-graine-de-sablier-lyrics	222-Damso-graine-de-sablier
223	Futur	Booba	https://genius.com/Booba-futur-lyrics	223-Booba-futur
224	Printemps blanc	Niro (Ft. La Zarra)	https://genius.com/Niro-printemps-blanc-lyrics	224-Niro-printemps-blanc
225	#BaWéMonAmi	Niro	https://genius.com/Niro-bawemonami-lyrics	225-Niro-bawemonami
226	Le M	PNL	https://genius.com/Pnl-le-m-lyrics	226-Pnl-le-m
227	Paradis ou enfer	Kaaris	https://genius.com/Kaaris-paradis-ou-enfer-lyrics	227-Kaaris-paradis-ou-enfer
228	Liquide	SCH (Ft. Lacrim)	https://genius.com/Sch-liquide-lyrics	228-Sch-liquide
229	VivaStreet	Niro	https://genius.com/Niro-vivastreet-lyrics	229-Niro-vivastreet
230	La mort leur va si bien	Booba	https://genius.com/Booba-la-mort-leur-va-si-bien-lyrics	230-Booba-la-mort-leur-va-si-bien
231	Différents	PNL	https://genius.com/Pnl-differents-lyrics	231-Pnl-differents
232	Mexico	PNL	https://genius.com/Pnl-mexico-lyrics	232-Pnl-mexico
233	Pirates	Booba	https://genius.com/Booba-pirates-lyrics	233-Booba-pirates
234	Drôle de question	Roméo Elvis & Le Motel	https://genius.com/Romeo-elvis-and-le-motel-drole-de-question-lyrics	234-Romeo-elvis-and-le-motel-drole-de-question
235	Habitué	Dosseh	https://genius.com/Dosseh-habitue-lyrics	235-Dosseh-habitue
236	Ridin'	Booba	https://genius.com/Booba-ridin-lyrics	236-Booba-ridin
237	Game Over	Vitaa (Ft. GIMS)	https://genius.com/Vitaa-game-over-lyrics	237-Vitaa-game-over
238	Salside	Booba	https://genius.com/Booba-salside-lyrics	238-Booba-salside
239	Dans l'univers	Nekfeu (Ft. Vanessa Paradis)	https://genius.com/Nekfeu-dans-lunivers-lyrics	239-Nekfeu-dans-lunivers
240	Milano	Soolking	https://genius.com/Soolking-milano-lyrics	240-Soolking-milano
241	Drill FR 4	Gazo (Ft. Freeze Corleone)	https://genius.com/Gazo-drill-fr-4-lyrics	241-Gazo-drill-fr-4
242	4G	Booba	https://genius.com/Booba-4g-lyrics	242-Booba-4g
243	Suicide social	OrelSan	https://genius.com/Orelsan-suicide-social-lyrics	243-Orelsan-suicide-social
