#,title,artist,href
103,Pavel Bure,Les Anticipateurs (Ft. Shreez & Tizzo ),https://genius.com/Les-anticipateurs-pavel-bure-lyrics
104,Fanny,YH,https://genius.com/Yh-fanny-lyrics
105,LIMB,Planet Giza,https://genius.com/Planet-giza-limb-lyrics
106,La Paix des Braves,Samian (Ft. Loco Locass ),https://genius.com/Samian-la-paix-des-braves-lyrics
107,Sirènes,Lost (Ft. Capitaine Gaza ),https://genius.com/Lost-sirenes-lyrics
108,Il était moins une,Loud,https://genius.com/Loud-il-etait-moins-une-lyrics
109,Bye bye,White-B,https://genius.com/White-b-bye-bye-lyrics
110,Éclipse,Enima,https://genius.com/Enima-eclipse-lyrics
111,Doo Wop,Dead Obies,https://genius.com/Dead-obies-doo-wop-lyrics
112,Valentina,Souldia,https://genius.com/Souldia-valentina-lyrics
113,Zombies,Koriass,https://genius.com/Koriass-zombies-lyrics
114,La Cause,VT,https://genius.com/Vt-la-cause-lyrics
115,Gris,Enima,https://genius.com/Enima-gris-lyrics
116,Aveux,Souldia (Ft. D4vid Lee ),https://genius.com/Souldia-aveux-lyrics
117,Ça Pue,Tizzo & Shreez,https://genius.com/Tizzo-and-shreez-ca-pue-lyrics
118,Métropole,MB,https://genius.com/Mb-metropole-lyrics
119,Cocaïno rap musique,Roi Heenok,https://genius.com/Roi-heenok-cocaino-rap-musique-lyrics
120,Rosa,VT,https://genius.com/Vt-rosa-lyrics
121,Réussir,Enima,https://genius.com/Enima-reussir-lyrics
122,Love suprême,Koriass (Ft. Sabrina Halde ),https://genius.com/Koriass-love-supreme-lyrics
123,Ondulation,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-ondulation-lyrics
124,Pour mon pays,Sir Pathétik,https://genius.com/Sir-pathetik-pour-mon-pays-lyrics
125,BP2 (Intro),Lost,https://genius.com/Lost-bp2-intro-lyrics
126,Détour,Enima,https://genius.com/Enima-detour-lyrics
127,Outro (Cerbère),"MB , Lost & White-B (Ft. Capitaine Gaza )",https://genius.com/Mb-lost-and-white-b-outro-cerbere-lyrics
128,Runnin',Dead Obies,https://genius.com/Dead-obies-runnin-lyrics
129,Star,Enima,https://genius.com/Enima-star-lyrics
130,SWG,Loud (Ft. Lary Kidd ),https://genius.com/Loud-swg-lyrics
131,Mille Soleils,Rymz,https://genius.com/Rymz-mille-soleils-lyrics
132,Dz d’Amérique,Enima,https://genius.com/Enima-dz-damerique-lyrics
133,PLG,5sang14,https://genius.com/5sang14-plg-lyrics
134,Longue histoire courte,Loud,https://genius.com/Loud-longue-histoire-courte-lyrics
135,Elle sait pas,White-B,https://genius.com/White-b-elle-sait-pas-lyrics
136,Marée humaine,Manu Militari,https://genius.com/Manu-militari-maree-humaine-lyrics
137,HYBRIDE EXO,Roi Heenok (Ft. Alkpote ),https://genius.com/Roi-heenok-hybride-exo-lyrics
138,Alaclair High,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-alaclair-high-lyrics
139,Une année record,Loud,https://genius.com/Loud-une-annee-record-lyrics
140,Best Friend,Enima,https://genius.com/Enima-best-friend-lyrics
141,Mona Lisa,White-B (Ft. MB ),https://genius.com/White-b-mona-lisa-lyrics
142,Hooked,Zeina,https://genius.com/Zeina-hooked-lyrics
143,Nouvelle drogue,Rymz (Ft. William Hennessey ),https://genius.com/Rymz-nouvelle-drogue-lyrics
144,Indélébile,Rymz,https://genius.com/Rymz-indelebile-lyrics
145,Gaïden vs Freddy Gruesum,WordUP! Battles (Ft. Freddy Gruesum & Gaïden ),https://genius.com/Wordup-battles-gaiden-vs-freddy-gruesum-lyrics
146,ONO,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-ono-lyrics
147,Slow Motion,Ryan (QC) (Ft. Lost ),https://genius.com/Ryan-qc-slow-motion-lyrics
148,Pourquoi tout perdre,Lenni-Kim,https://genius.com/Lenni-kim-pourquoi-tout-perdre-lyrics
149,Gucci,Soubillz,https://genius.com/Soubillz-gucci-lyrics
150,Million,Enima,https://genius.com/Enima-million-lyrics
151,Devil May Cry,Rowjay (Ft. Alpha Wann ),https://genius.com/Rowjay-devil-may-cry-lyrics
152,Vrai Slime,Jeune Loup,https://genius.com/Jeune-loup-vrai-slime-lyrics
